structure,total,inUse,free,time
4th & William,960.0,212.0,748.0,1670112428.0856688
4th & Wash.,270.0,131.0,139.0,1670112428.0856688
1st & Wash.,243.0,52.0,191.0,1670112428.0856688
1st and William,110.0,0.0,110.0,1670116037.1890647
Library Lane,744.0,130.0,614.0,1670116037.1890647
Maynard,791.0,600.0,191.0,1670116037.1890647
Forest Garage,853.0,80.0,773.0,1670116037.1890647
Liberty Square (Tally Hall),540.0,278.0,262.0,1670116037.1890647
Ann Ashley,811.0,105.0,706.0,1670116037.1890647
South Ashley (Kline Lot),143.0,144.0,-1.0,1670116037.1890647
4th & William,960.0,362.0,598.0,1670116037.1890647
4th & Wash.,270.0,241.0,29.0,1670116037.1890647
1st & Wash.,243.0,243.0,0.0,1670116037.1890647
1st and William,110.0,0.0,110.0,1670119630.2137377
Library Lane,744.0,130.0,614.0,1670119630.2137377
Maynard,791.0,600.0,191.0,1670119630.2137377
Forest Garage,853.0,80.0,773.0,1670119630.2137377
Liberty Square (Tally Hall),540.0,278.0,262.0,1670119630.2137377
Ann Ashley,811.0,105.0,706.0,1670119630.2137377
South Ashley (Kline Lot),143.0,144.0,-1.0,1670119630.2137377
4th & William,960.0,362.0,598.0,1670119630.2137377
4th & Wash.,270.0,241.0,29.0,1670119630.2137377
1st & Wash.,243.0,243.0,0.0,1670119630.2137377
1st and William,110.0,0.0,110.0,1670123228.9143167
Library Lane,744.0,130.0,614.0,1670123228.9143167
Maynard,791.0,600.0,191.0,1670123228.9143167
Forest Garage,853.0,80.0,773.0,1670123228.9143167
Liberty Square (Tally Hall),540.0,278.0,262.0,1670123228.9143167
Ann Ashley,811.0,105.0,706.0,1670123228.9143167
South Ashley (Kline Lot),143.0,144.0,-1.0,1670123228.9143167
4th & William,960.0,362.0,598.0,1670123228.9143167
4th & Wash.,270.0,241.0,29.0,1670123228.9143167
1st & Wash.,243.0,243.0,0.0,1670123228.9143167
1st and William,110.0,0.0,110.0,1670126827.2278798
Library Lane,744.0,130.0,614.0,1670126827.2278798
Maynard,791.0,600.0,191.0,1670126827.2278798
Forest Garage,853.0,80.0,773.0,1670126827.2278798
Liberty Square (Tally Hall),540.0,278.0,262.0,1670126827.2278798
Ann Ashley,811.0,105.0,706.0,1670126827.2278798
South Ashley (Kline Lot),143.0,144.0,-1.0,1670126827.2278798
4th & William,960.0,362.0,598.0,1670126827.2278798
4th & Wash.,270.0,241.0,29.0,1670126827.2278798
1st & Wash.,243.0,243.0,0.0,1670126827.2278798
1st and William,110.0,0.0,110.0,1670130437.5769117
Library Lane,744.0,89.0,655.0,1670130437.5769117
Maynard,791.0,330.0,461.0,1670130437.5769117
Forest Garage,853.0,90.0,763.0,1670130437.5769117
Liberty Square (Tally Hall),540.0,136.0,404.0,1670130437.5769117
Ann Ashley,811.0,96.0,715.0,1670130437.5769117
South Ashley (Kline Lot),143.0,57.0,86.0,1670130437.5769117
4th & William,960.0,138.0,822.0,1670130437.5769117
4th & Wash.,270.0,92.0,178.0,1670130437.5769117
1st & Wash.,243.0,243.0,0.0,1670130437.5769117
1st and William,110.0,0.0,110.0,1670134028.625476
Library Lane,744.0,89.0,655.0,1670134028.625476
Maynard,791.0,330.0,461.0,1670134028.625476
Forest Garage,853.0,90.0,763.0,1670134028.625476
Liberty Square (Tally Hall),540.0,136.0,404.0,1670134028.625476
Ann Ashley,811.0,96.0,715.0,1670134028.625476
South Ashley (Kline Lot),143.0,57.0,86.0,1670134028.625476
4th & William,960.0,138.0,822.0,1670134028.625476
4th & Wash.,270.0,92.0,178.0,1670134028.625476
1st & Wash.,243.0,243.0,0.0,1670134028.625476
1st and William,110.0,0.0,110.0,1670137626.3301644
Library Lane,744.0,89.0,655.0,1670137626.3301644
Maynard,791.0,330.0,461.0,1670137626.3301644
Forest Garage,853.0,90.0,763.0,1670137626.3301644
Liberty Square (Tally Hall),540.0,136.0,404.0,1670137626.3301644
Ann Ashley,811.0,96.0,715.0,1670137626.3301644
South Ashley (Kline Lot),143.0,57.0,86.0,1670137626.3301644
